nilai_hujan_max,tempoh_hujan,tempoh_ulang,latitude,longitude
30.5,6,"NORMA
L",5.3951,102.3172
151.5,36,"NORMA
L",5.6266,102.175
151.5,36,"NORMA
L",5.6266,102.175
145,36,"NORMA
L",5.6295,102.2016
110.5,7,"NORMA
L",5.6119,102.2756
145,36,"NORMA
L",5.6221,102.2488
166,5,8,5.8156,102.389
8,3,NORMAL,5.8152,102.4084
8,3,NORMAL,5.8633,102.3464
8,3,NORMAL,5.7709,102.4629
8,3,NORMAL,5.8346,102.4034
8,3,NORMAL,5.8394,102.4002
8,3,NORMAL,5.8459,102.3986
30.5,6,"NORMA
L",6.053,102.0268
145,36,"NORMA
L",6.0527,102.0243
145,36,"NORMA
L",6.0333,102.0363
145,36,"NORMA
L",6.0415,102.0545
145,36,"NORMA
L",6.0542,102.0479
57,5,"NORMA
L",6.0601,102.0489
145,36,"NORMA
L",6.0385,102.0563
145,36,"NORMA
L",6.0233,102.0692
145,36,"NORMA
L",6.0169,102.0722
145,36,"NORMA
L",6.0158,102.0854
145,36,"NORMA
L",6.0227,102.0823
57,5,"NORMA
L",6.0563,102.0551
145,36,"NORMA
L",5.9925,102.1049
57,5,"NORMA
L",6.0779,102.0563
145,36,"NORMA
L",6.1128,102.0833
145,36,"NORMA
L",6.1175,102.0778
57,5,"NORMA
L",6.0943,102.0821
57,5,"NORMA
L",6.1242,102.0871
57,5,"NORMA
L",6.1388,102.1025
57,5,"NORMA
L",6.112,102.1039
108.5,1.5,38,6.0763,102.0569
145,36,"NORMA
L",6.0221,102.0131
145,36,"NORMA
L",6.078,102.0533
145,36,"NORMA
L",6.0707,102.0378
145,36,"NORMA
L",6.0386,101.9949
19,1,NORMAL,6.0683,102.2481
15,1,NORMAL,5.9579,102.2966
227,24,5,5.7575,102.2662
86,5,NORMAL,5.7506,102.2842
86,5,NORMAL,5.7487,102.2748
86,5,NORMAL,5.8689,102.2263
86,5,NORMAL,5.7544,102.1678
86,5,NORMAL,5.757,102.167
284,48,4,5.6267,102.1748
284,48,4,5.6119,102.27
145,36,"NORMA
L",5.6221,102.2488
284,48,4,5.6267,102.1748
284,48,4,5.5631,102.2029
260,6,NORMAL,5.3713,102.2299
30.5,6,"NORMA
L",6.053,102.0268
145,36,"NORMA
L",6.0527,102.0243
145,36,"NORMA
L",6.0333,102.0363
145,36,"NORMA
L",6.0415,102.0545
145,36,"NORMA
L",6.0542,102.0479
57,5,"NORMA
L",6.0601,102.0489
145,36,"NORMA
L",6.0385,102.0563
145,36,"NORMA
L",6.0233,102.0692
145,36,"NORMA
L",6.0158,102.0854
145,36,"NORMA
L",6.0227,102.0823
57,5,"NORMA
L",6.0563,102.0551
145,36,"NORMA
L",6.0779,102.0566
145,36,"NORMA
L",6.1175,102.0778
57,5,"NORMA
L",6.0943,102.0821
57,5,"NORMA
L",6.1242,102.0871
57,5,"NORMA
L",6.1388,102.1025
108.5,1.5,38,6.0763,102.0569
145,36,"NORMA
L",6.0221,102.0131
145,36,"NORMA
L",6.078,102.0533
145,36,"NORMA
L",6.0707,102.0378
30.5,6,"NORMA
L",6.053,102.0268
145,36,"NORMA
L",6.0527,102.0243
145,36,"NORMA
L",6.0333,102.0363
145,36,"NORMA
L",6.0415,102.0545
145,36,"NORMA
L",6.0542,102.0479
57,5,"NORMA
L",6.0601,102.0489
145,36,"NORMA
L",6.0385,102.0563
145,36,"NORMA
L",6.0233,102.0692
145,36,"NORMA
L",6.0169,102.0722
145,36,"NORMA
L",6.0158,102.0854
145,36,"NORMA
L",6.0227,102.0823
57,5,"NORMA
L",6.0563,102.0551
145,36,"NORMA
L",5.9925,102.1049
145,36,"NORMA
L",6.0779,102.0566
145,36,"NORMA
L",6.1128,102.0833
145,36,"NORMA
L",6.1175,102.0778
57,5,"NORMA
L",6.0943,102.0821
57,5,"NORMA
L",6.1242,102.0871
57,5,"NORMA
L",6.1388,102.1025
57,5,"NORMA
L",6.112,102.1039
108.5,1.5,38,6.0763,102.0569
145,36,"NORMA
L",6.0221,102.0131
145,36,"NORMA
L",6.078,102.0533
