date,negeri,code,daerah,kawasan_banjir,latitude,longitude,kedalaman_banjir_max,day,month,year,line_check,geometry
26/4/2020,Kedah,KED,KULIM,"iii) Kg Banggol Penyengat
iv) Kg Padang Limau",5.4249,100.6642,0.5,26,4,2020,1,POINT (100.6642 5.4249)
26/4/2020,Kedah,KED,KULIM,"i) Kg Sera
ii) Kg Tok Betok",5.3726,100.5771,0.5,26,4,2020,1,POINT (100.5771 5.3726)
26/4/2020,Kedah,KED,KULIM,Kg Seberang,5.4116,100.5405,0.5,26,4,2020,1,POINT (100.5405 5.4116)
26/4/2020,Kedah,KED,KULIM,iv) Taman Permata Lunas,5.3726,100.5771,0.5,26,4,2020,1,POINT (100.5771 5.3726)
28/4/2020,Kedah,KED,KUALA MUDA,i) Tmn. Keranji,5.6271,100.5009,0.5,28,4,2020,1,POINT (100.5009 5.6271)
29/4/2020,Kedah,KED,KULIM,i) Taman Selasih,5.3777,100.5385,0.2,29,4,2020,1,POINT (100.5385 5.3777)
29/4/2020,Kedah,KED,KULIM,ii) Taman Rhu,5.3856,100.5359,1.2,29,4,2020,1,POINT (100.5359 5.3856)
29/4/2020,Kedah,KED,KULIM,iii) Taman Saga,5.3912,100.5374,1.2,29,4,2020,1,POINT (100.5374 5.3912)
1/5/2020,Kedah,KED,BALING,Kg. Tanjung Pari,5.8836,100.8945,0.3,1,5,2020,1,POINT (100.8945 5.8836)
1/5/2020,Kedah,KED,BALING,Kg. Bukit Sebelah,5.8647,100.892,0.5,1,5,2020,1,POINT (100.892 5.8647)
1/5/2020,Kedah,KED,BALING,Seri Ketengga,5.8971,100.8956,0.5,1,5,2020,1,POINT (100.8956 5.8971)
10/5/2020,Kedah,KED,BALING,"Kg. Kaki Bukit, 5 Jalan Kroh",5.7033,100.9557,0.6,10,5,2020,1,POINT (100.9557 5.7033)
10/5/2020,Kedah,KED,BALING,"Kg. Rambong, Jalan Kroh",5.6992,100.9469,0.3,10,5,2020,1,POINT (100.9469 5.6992)
10/5/2020,Kedah,KED,BALING,"Kg. Batu 7, Jalan Kroh",5.6912,100.9453,0.3,10,5,2020,1,POINT (100.9453 5.6912)
10/5/2020,Kedah,KED,BALING,"Kg. Teluk Sanau, Jalan Kroh",5.6916,100.9508,0.3,10,5,2020,1,POINT (100.9508 5.6916)
10/5/2020,Kedah,KED,BALING,"Kg. Bukit Palong, Bongor",5.7362,100.9031,0.3,10,5,2020,1,POINT (100.9031 5.7362)
10/5/2020,Kedah,KED,BALING,"Kg. Dusun Ghani, Bongor",5.7402,100.898,0.3,10,5,2020,1,POINT (100.898 5.7402)
