latitude,longitude,region,state,postcode,geometry,flood_risk,distance,kawasan_banjir,latitude_kb,longitude_kb,kedalaman_banjir,month_kb,altitude,slope,min_distance_river
6.247495772,100.2632316,Alor Setar,Kedah,5518,POINT (11161251.887000056 696850.2963287306),True,620.0152717248347,2) Kampung Belukar,6.2523,100.266,0.3,11.0,7,2.946159839630127,565.7639168359369
6.159335964,100.2766986,Alor Setar,Kedah,5518,POINT (11162751.026582569 686978.5868396665),False,1435.9000450289038,"Kg. Suka
Menanti",6.1665,100.266,0.2,11.0,4,0.9274099469184875,4205.522592599944
6.211829716,100.3721551,Alor Setar,Kedah,5518,POINT (11173377.195555476 692856.3846953744),False,2859.405781860268,"Kg Alor
Senjaya",6.1885,100.3826,0.2,11.0,2,1.865278601646424,2081.325681568548
6.189674352,100.4789587,Alor Setar,Kedah,5518,POINT (11185266.517922366 690375.5468137731),False,3152.3917633116453,"Kampung
Lubuk Batu,
Mukim
Pelubang",6.2151,100.4668,0.3,10.0,38,8.387016296386719,2271.0602027720142
6.196439452,100.3079237,Alor Setar,Kedah,5518,POINT (11166226.988814538 691133.0550863149),False,5227.514762883951,"Kg. Alor Melintang (Pulau Kerengga) Mukim
Sungai Baharu",6.1856,100.3536,0.6,9.0,4,3.3538975715637207,4364.192549274839
5.996313379,100.4206689,Alor Setar,Kedah,5518,POINT (11178777.727067923 668728.40510871),False,6406.691604530963,"Pekan
Pendang
(Hadapan
Bangunan
UMNO)",5.9913,100.478,0.3,10.0,3,6.530645847320557,2968.978660221524
6.225314531,100.2164072,Alor Setar,Kedah,5518,POINT (11156039.418635357 694366.3924683675),False,2802.812263213072,Kuala Kerpan,6.2502,100.2191,0.5,11.0,0,0.0,1838.4762982220507
6.274871664,100.3534338,Alor Setar,Kedah,5518,POINT (11171293.14997249 699916.0537465122),False,6386.111816741623,"Kg. Gelam / Tmn Suria, Jitra",6.2745,100.4108,1.0,9.0,5,2.0830209255218506,1645.1970982105136
6.275938282,100.3488117,Alor Setar,Kedah,5520,POINT (11170778.620154092 700035.5048740171),False,6902.385655868748,"Kg. Gelam / Tmn Suria, Jitra",6.2745,100.4108,1.0,9.0,5,1.315399408340454,1387.14066190871
6.020797321,100.3935378,Alor Setar,Kedah,5520,POINT (11175757.506831262 671469.0011637523),False,7466.214209991852,"Jalan KP
Ceria7, Kg
Kubur
Panjang,
Mukim
Rambai.",6.0449,100.331,0.8,10.0,1,1.31508207321167,309.10291036398
5.990760849,100.4933287,Alor Setar,Kedah,5520,POINT (11186866.179005066 668106.902966478),True,616.1025849006147,1. Kg. Banggol Kambing,5.98644,100.4899,0.3,10.0,4,2.6287074089050293,2286.0753548654493
6.264300067,100.2326541,Alor Setar,Kedah,5520,POINT (11157848.015270324 698732.1480874844),False,2184.0069233683216,Kuala Kerpan,6.2502,100.2191,0.5,11.0,7,4.719686031341553,185.16448176874755
