nilai_hujan_max,tempoh_hujan,tempoh_ulang,kedalaman_banjir,distance
111,2,34,0.6,3001.711601
73,3,4,0.45,12888.10705
69,1,9,0.35,3054.28789
43,4,2,0.5,10407.91483
43,4,2,0.5,11871.10582
69,1,9,0.5,1979.757743
18,1,2,0.2,1637.696964
91,3,6,0.5,1466.438832
73,3,4,0.45,15520.88473
39.5,1,2,0.1,4202.136745
98,2,17,0.3,9734.948391
52,3,2,0.3,4497.041625
98,2,17,0.3,7833.522772
69,1,9,0.5,1252.434015
21,2,2,0.5,11617.22083
111,2,34,0.6,7410.311599
21,2,2,0.5,5939.044064
18,1,2,0.2,2984.311236
98,2,17,0.3,5252.675599
91,3,6,0.25,9021.638018
111,2,34,0.6,11822.96192
111,2,34,0.6,3166.432162
111,2,34,0.6,8013.151283
84.5,3,3,0.5,6713.196703
111,2,34,0.6,9344.715436
84.5,3,3,0.5,9917.129309
83,2,5,0.3,6941.43984
91,3,6,0.25,3641.876217
52,3,2,0.3,7320.676783
39.5,1,2,0.1,2662.955848
111,2,34,0.6,7482.752893
76,2,5,1,3186.249683
98,2,17,0.3,6643.903975
52,3,2,0.3,6495.159216
73,3,4,0.45,16856.2265
74.5,3,2,1,8246.182268
111,2,34,0.6,11755.71873
73,3,4,0.45,5082.410552
111,2,34,0.6,6250.117882
58.5,3,2,0.3,7795.526948
69,1,9,0.35,6008.162365
18,1,2,0.2,1876.753013
98,2,17,0.3,11765.65175
18,1,2,0.2,961.6952103
76,2,5,1,5617.412156
73,3,4,0.45,665.9426402
111,2,34,0.6,5519.15705
46,3,2,0.35,4643.605834
18,1,2,0.2,4159.79168
111,2,34,0.6,4964.29423
111,2,34,0.6,7600.257136
73,3,4,0.45,4967.112656
52,3,2,0.3,4836.277119
111,2,34,0.6,11613.76366
18,1,2,0.2,5532.642177
73,3,4,0.45,14982.36098
111,2,34,0.6,15145.12672
18,1,2,0.2,5727.859316
18,1,2,0.2,1877.87432
58.5,3,2,0.3,5939.677622
111,2,34,0.6,5789.477366
73,3,4,0.45,10673.40603
73,3,4,0.45,1673.504262
35,3,2,0.2,3848.936083
18,1,2,0.2,1084.468053
84.5,3,3,0.5,8335.253805
69,1,9,0.5,2898.186183
83,2,5,0.3,6771.448032
76,2,5,1,7660.919574
58.5,3,2,0.3,5592.963932
111,2,34,0.6,3368.584553
91,3,6,0.25,1183.200882
73,3,4,0.45,2146.697808
69,1,9,0.35,3602.445828
111,2,34,0.6,8836.848189
18,1,2,0.2,774.2984714
21,2,2,0.5,9227.86576
74.5,3,2,1,7187.406621
111,2,34,0.6,10401.6811
83,2,5,0.3,6569.869634
10,2,2,0.3,4034.785248
111,2,34,0.6,5456.196273
69,1,9,0.5,10563.98932
21,2,2,0.5,3959.588469
69,1,9,0.5,748.5090216
111,2,34,0.6,2498.106133
39.5,1,2,0.1,1831.351234
21,2,2,0.5,3828.900646
73,3,4,0.45,7239.413758
58.5,3,2,0.3,5699.126901
84.5,3,3,0.5,11962.54691
21,2,2,0.5,10724.83484
98,2,17,0.3,9364.085387
73,3,4,0.45,11941.0018
111,2,34,0.6,13409.69229
73,3,4,0.45,4714.124344
84.5,3,3,0.5,2985.376361
91,3,6,0.4,478.0372263
91,3,6,0.25,6937.933528
61,3,2,0.6,1222.290843
73,3,4,0.45,7784.416412
21,2,2,0.5,5275.103679
84.5,3,3,0.5,7203.041656
73,3,4,0.45,11050.12958
18,1,2,0.2,7188.954948
